Producto, Unidades ,Factura
34619,1,726043
43071,1,390335
17206,1,663472
37527,1,175131
34704,1,733874
39834,1,817944
35101,1,738179
47240,1,326720
17481,1,636254
34324,1,391642
34112,1,711611
34068,1,717832
34618,1,579608
35191,1,713337
34484,1,178590
34694,1,576071
43983,1,29855
36000,1,467431
18023,1,16817
34455,1,765312
17961,1,648840
41642,1,678824
2556,2,773765
20587,1,792439
37529,1,644089
34369,1,795495
23259,1,811259
49466,1,512150
14608,1,469178
24333,1,611358
34068,1,747542
23841,1,603073
17257,1,739657
23723,1,620421
17092,1,643849
9970,1,737293
4965,1,178019
35091,1,832048
37151,1,777180
35191,1,178600
43867,1,686610
13627,1,543765
34742,1,723443
163,1,125514
18535,1,631101
34312,1,715195
48394,1,176298
17491,1,687684
40601,1,179025
37188,1,469144
20353,1,823778
16972,1,724291
17155,1,658309
34560,1,738679
23723,1,513978
35030,1,714555
37051,1,686425
11841,1,654103
17422,10,822351
48178,1,328229
40280,1,118588
29890,1,679095
17704,1,327339
35440,1,771503
17244,1,725441
46866,1,681596
46774,2,708290
41789,1,632329
17206,1,618804
34331,1,174975
34811,1,669883
40648,1,467464
24324,1,324056
36005,1,617368
24333,1,178543
17385,1,464564
37584,1,647325
19963,1,760978
27321,1,795495
20037,1,726709
34108,1,466011
46888,1,725799
36393,1,669297
37582,1,712989
20673,1,711363
18667,1,178459
20673,1,299356
17435,1,764348
17737,1,540423
38167,1,736352
23946,1,612931
37449,1,731021
34483,1,599074
17462,2,814372
23946,1,832027
34392,1,624958
39861,1,593576
17472,1,674224
35693,1,769890
24371,1,494832
34742,1,711947
29426,1,677812
30213,1,711991
34742,1,633951
39370,1,734000
34812,2,594996
17092,1,830953
18577,1,324546
20458,1,686330
14627,1,725092
27714,1,635129
36104,1,584801
39507,1,335580
34820,1,695873
34386,1,176659
35365,1,177711
1442,1,926905
5895,1,540892
33540,1,735049
47786,1,324600
37584,1,728170
35401,1,177747
3911,1,391622
34515,2,585757
34560,1,636023
48445,1,391823
37584,1,174727
35255,1,707534
19488,1,179131
18535,1,638504
5108,1,177029
35191,1,323994
17302,1,568084
16981,1,720106
46966,1,827401
47788,1,116751
47259,1,179207
36085,1,543002
48396,1,175698
35089,1,572673
47212,1,126362
23292,4,696296
34379,1,798410
38184,1,328710
37529,1,395104
46888,1,703072
34655,1,669878
35298,1,671715
46817,2,925716
34277,1,328399
21037,1,725146
23290,1,715012
35265,1,540702
23928,1,182947
48217,1,726563
27073,1,726214
18368,1,786375
41396,2,808650
10058,2,98330
51280,1,336884
37529,1,182921
35836,1,721256
47240,1,636300
3879,1,796261
17512,1,725654
13561,1,178833
47340,1,725605
46952,1,513637
34742,1,541075
17497,1,780601
40874,1,654819
37452,1,604855
29067,1,750213
41591,1,710463
47810,1,830581
46817,1,761793
1415,1,571544
24453,1,588842
34386,1,829688
34581,1,831361
17144,1,126497
47785,1,668595
47679,1,926365
25161,1,711817
34028,1,696214
34581,1,321769
40953,2,540275
17120,1,923989
30213,1,701086
35617,1,392072
41915,1,126226
19455,1,925029
48443,1,811755
37147,1,724203
34560,1,657272
21330,1,623171
34248,2,178187
17787,1,723462
35365,1,741640
46705,1,796253
34069,1,683870
40235,1,233701
23091,1,542523
40417,1,668810
3228,1,610684
41903,1,787914
41792,1,328192
34704,1,762158
38215,1,771185
17839,1,679748
17483,1,542859
35396,1,830208
34579,1,178940
37584,1,737645
16922,1,28433
46705,1,800578
6032,1,17002
17692,1,717816
48248,1,540025
34111,2,232873
11343,2,747748
30213,2,666327
37583,1,335832
37584,1,465055
47082,1,747226
24355,1,638644
17415,1,175500
17481,1,710678
29421,1,644946
44033,1,706655
47778,1,924557
39856,1,176206
41643,2,177767
17483,1,801704
37529,1,725509
2730,1,783520
17369,1,708192
37057,1,650613
17144,1,540285
43203,1,334473
46893,1,783427
40701,1,391578
38766,1,735172
20362,1,703208
36480,1,620784
30014,1,663711
37051,1,733836
17128,1,821838
37786,1,726824
7487,1,337184
31257,1,697040
34355,1,81085
38993,2,82261
35104,1,370912
34621,1,646592
24415,1,328075
41309,1,705517
39599,1,651695
37537,1,716900
20244,1,811784
31480,1,752288
40450,1,721285
47306,1,636418
17428,1,466091
40908,1,322902
37188,1,175782
36104,1,710896
2083,1,832759
16959,1,765671
40235,3,467547
17259,1,543940
43296,1,182664
37189,1,678597
47259,1,711134
16972,1,924794
19854,1,785827
39756,1,584801
18164,9,628929
23676,1,654138
22010,1,724405
17120,1,832139
34068,1,702665
163,1,685122
18535,1,926921
17387,2,540695
9577,1,830706
27798,1,808171
34068,3,469006
24453,1,731054
2547,1,604163
34515,1,606225
41915,1,469810
17340,1,770513
3173,1,603736
23723,1,177547
34182,1,729892
17238,1,711399
47292,1,244956
39533,1,49701
45175,1,569974
35365,1,772427
8984,1,495837
17692,1,258910
17387,1,98687
48229,3,730139
30213,1,177428
48443,1,696161
371,1,512020
41373,1,733458
20729,1,748430
42529,2,318749
21151,1,724603
28157,1,793659
34112,1,722954
24356,1,819018
44451,1,626194
20659,1,615620
17154,4,467022
34248,1,328427
46848,1,725946
16972,2,741116
1631,1,183332
44908,1,370565
17703,1,724863
48226,1,698415
17704,1,326754
34619,1,647537
29788,1,811220
29693,1,713433
34083,1,541981
38982,1,749162
37584,1,725450
37202,1,495179
764,1,613677
17154,2,513644
1970,1,779078
39599,1,644823
47992,1,178518
24371,1,650314
17237,1,495676
46817,1,139778
35221,1,791186
34086,1,713516
46966,1,733160
39640,1,628093
4624,1,558496
44265,1,539763
17386,1,337252
37057,1,639150
34742,1,772360
37491,1,328484
121,1,542833
34392,1,335879
18888,1,656390
16983,1,711050
43817,1,721194
40823,1,720006
41396,1,468413
34420,1,327868
14627,1,713147
17183,1,760986
34112,1,619546
48381,1,731636
36102,1,794140
31338,1,673780
34696,1,28521
38028,1,712146
21151,1,672814
16963,1,540044
35967,1,759368
38019,1,326799
17481,2,328622
16479,1,821340
5441,1,539775
23676,1,609821
17841,20,786129
49645,1,796710
18197,1,259718
17325,1,927246
35050,2,183156
17259,1,606225
23534,1,646710
41625,2,574401
34437,1,807256
39866,1,788567
35952,1,641628
34038,1,799155
43925,1,583140
4129,1,832403
39544,1,707128
309,1,719930
20752,1,466565
23290,1,712756
46888,1,667613
31258,1,726695
17387,1,608407
34160,1,175942
17377,2,467464
17145,1,821802
47659,1,496440
20639,1,755535
34299,1,497337
34742,1,750970
47259,1,232873
4494,1,711166
40658,1,175033
37582,1,821917
23676,1,787549
35952,1,800696
2083,1,696035
40848,1,774024
23913,1,832078
34230,1,7633
20073,1,733445
29763,1,681493
28091,1,466281
34582,1,395902
35221,1,742870
47240,1,527959
23534,2,617607
15639,1,683657
1899,1,735581
35440,1,710625
24335,1,796070
38216,1,705777
34182,1,788031
4499,1,183147
34119,4,738463
17492,1,176888
33929,1,396673
37759,1,689568
49533,2,724818
41372,1,324687
41915,3,831715
19488,1,139034
34384,1,392293
16963,1,692492
41904,1,800601
35370,1,708935
17737,1,653872
24486,1,709818
34568,2,182835
47181,1,642595
47259,1,183922
17207,1,466850
2925,1,780527
47297,1,685309
34742,1,827330
17350,1,467481
35694,1,763948
39020,1,805398
17302,1,232873
41647,1,323545
45147,1,923432
34420,1,259145
24453,1,646598
37583,1,723313
35500,1,792985
34182,1,674549
38167,1,735165
34420,1,681985
23683,1,30087
29259,1,705819
35101,1,717375
20310,1,771614
8138,1,362870
2671,1,81559
40953,1,644079
24471,1,324815
17707,1,317870
24335,1,783582
21460,1,777134
34420,1,390942
3050,1,598886
34379,1,667852
23534,2,474282
39546,1,725488
39599,1,82797
20260,1,791275
39545,1,712312
34068,1,760039
46817,1,758799
43099,1,322831
34437,1,328074
35365,1,713379
48215,1,926754
47943,1,462202
11315,1,30082
34331,1,786205
25854,1,82195
20278,1,667015
17258,1,789670
34324,3,710491
20361,1,683301
37051,1,772797
37584,1,821719
48249,2,636647
34694,1,687836
17092,1,737779
34182,1,610467
19488,1,747467
16983,1,829590
17731,1,743427
18266,1,724282
48217,1,118082
47082,1,466058
41915,1,752973
34568,2,613291
40605,1,743989
34754,1,642740
47240,1,618804
37177,1,727945
48022,1,458437
44251,1,685987
41246,1,671198
46817,1,827070
41309,1,720716
42877,1,322875
37527,1,496482
16168,1,465927
963,1,467262
20541,1,615406
17482,1,29035
18296,1,621089
17808,1,756683
35395,1,682207
35617,1,126032
18715,1,183817
8427,1,465209
39640,1,924134
17654,1,832157
2925,1,481448
30213,1,730215
41904,1,751411
2139,1,693460
36045,1,768192
44004,1,821418
37890,1,825413
47294,1,770110
34321,1,756684
17492,1,829959
35208,1,648405
27765,1,829979
17497,1,817108
20308,1,178947
10792,1,363215
20316,1,714768
24035,1,713456
34374,1,829364
40601,1,211429
23290,1,609666
17358,1,540972
42523,1,636466
15196,20,651576
34333,1,361896
18726,1,540834
40280,1,337198
37407,1,318021
2323,1,465443
40138,1,729400
18267,1,322363
37190,1,465114
23936,1,720838
34379,1,649024
48296,1,766411
34324,1,586843
3175,1,681450
35318,1,543884
34703,1,831473
35089,1,830644
37582,1,691518
37490,1,617980
16972,1,540843
24148,1,824349
16940,1,81957
41915,1,686389
17147,1,816701
42320,1,673780
17207,1,540405
47219,1,336864
21151,1,925443
17482,1,544143
34568,1,829458
47676,1,177201
20243,1,182993
2649,1,714053
24335,1,674239
15921,1,601152
35298,1,757111
48067,1,925931
34182,1,600253
47240,1,540066
48396,1,800572
34274,1,396742
17511,1,177861
47162,1,697264
34386,1,779875
18628,1,468258
17257,1,177137
34335,1,592100
24335,2,926803
23191,1,736190
34489,1,698861
34695,1,679417
37584,1,787223
17140,1,926921
46867,1,659439
34112,1,781170
18667,1,674551
36018,1,752221
36688,1,576255
47785,1,771435
16661,1,494793
39640,1,749382
47786,1,627066
47659,1,335435
20293,6,830446
796,1,735481
20244,1,748154
47212,1,299543
18143,1,618804
199,2,924128
17145,1,540252
47219,1,587706
34098,1,754014
34089,1,783216
23343,1,694226
5689,1,395516
23555,1,790312
41795,1,715181
39546,1,724225
2925,1,711733
17238,1,542998
20310,1,469237
34357,1,465541
34312,1,179054
37216,1,699698
29362,1,178996
14802,1,735382
34386,1,260666
32649,1,321399
163,1,755376
23946,1,717313
51193,1,723906
16933,1,743565
34742,1,620656
34369,1,542503
34055,1,512237
30171,1,543399
40436,1,635056
47785,1,16960
19970,1,642721
27644,1,765185
27173,1,778540
5895,1,762158
3206,1,655659
37529,1,175504
19907,1,783520
6230,1,766781
2050,1,780686
37049,1,620758
17494,1,467490
34695,1,819284
17197,1,801392
35969,1,766449
37527,1,626229
23292,1,466160
37153,1,664651
24335,1,817848
32706,1,927488
47363,1,828603
23534,1,821517
18143,1,174715
47992,1,725488
34437,1,643132
20289,1,663063
17128,1,514573
46960,1,791037
21946,1,814654
17527,2,712146
24371,1,714727
27445,1,395802
47340,1,178352
20310,1,694721
37719,1,318202
39927,1,770816
47287,1,543508
17839,1,703970
47052,1,718055
22217,1,677499
46461,1,176552
47785,1,705517
